Moeda,Preço,Volume em 24 h,Capitalização de mercado,FDV
Sceptre Staked FLR  SFLR,"US$ 0,02277",US$ 111.333,US$ 14.803.718,US$ 14.803.718
Scroll  SCR,"US$ 0,3157",US$ 11.029.593,US$ 59.986.056,US$ 315.716.086
Seamless Protocol  SEAM,"US$ 0,4798",US$ 255.519,US$ 15.938.804,US$ 47.979.658
Secret  SCRT,"US$ 0,2235",US$ 2.992.157,US$ 68.470.059,US$ 72.008.414
SEDA  SEDA,"US$ 0,02461","US$ 4.344,71",US$ 8.405.207,US$ 24.684.468
Seedify.fund  SFUND,"US$ 0,5756",US$ 1.763.096,US$ 36.589.097,US$ 57.563.659
Sei  SEI,"US$ 0,206",US$ 67.770.699,US$ 1.051.873.945,US$ 2.059.581.312
Self Chain  SLF,"US$ 0,2136",US$ 10.297.286,US$ 20.726.462,US$ 71.794.756
Sendcoin  SEND,"US$ 0,0141",US$ 1.231.878,US$ 14.104.294,US$ 14.104.294
Sensay  SNSY,"US$ 0,002159",US$ 346.928,US$ 11.552.312,US$ 21.916.877
Sentinel  DVPN,"US$ 0,0002997",US$ 201.673,US$ 6.583.353,US$ 9.414.872
Sentio Protocol  SEN,"US$ 0,06369",US$ 448.273,US$ 6.396.461,US$ 6.396.461
Seraph  SERAPH,"US$ 0,1776",US$ 1.668.420,US$ 36.045.855,US$ 177.600.041
sETH  SETH,"US$ 1.604,39","US$ 1.284,38",US$ 18.595.505,US$ 18.595.505
sETH2  SETH2,"US$ 1.816,17","US$ 23,49",US$ 10.171.646,US$ 10.171.646
Shadow  SHADOW,"US$ 35,35",US$ 14.542.642,US$ 12.446.844,US$ 123.599.546
Shadow Liquid Staking Token  X33,"US$ 26,49",US$ 781.214,US$ 14.138.599,US$ 14.140.671
Shadow Token  SHDW,"US$ 0,1455",US$ 4.994.323,US$ 23.618.098,US$ 24.689.358
ShapeShift FOX  FOX,"US$ 0,03038",US$ 220.097,US$ 18.909.639,US$ 30.383.857
Shardus  ULT,"US$ 0,05101","US$ 2,26",US$ 22.423.106,US$ 51.012.993
Shentu  CTK,"US$ 0,3605",US$ 3.372.857,US$ 52.076.603,US$ 52.400.769
Shiba Inu  SHIB,"US$ 0,00001415",US$ 289.244.832,US$ 8.340.935.493,US$ 8.344.532.415
Shiba Inu Treat  TREAT,"US$ 0,003574",US$ 5.849.001,US$ 7.765.537,US$ 36.091.484
Shiro Neko  SHIRO,"US$ 0,071673",US$ 3.207.500,US$ 16.692.498,US$ 16.692.498
Shrapnel  SHRAP,"US$ 0,005709",US$ 202.903,US$ 7.060.126,US$ 17.119.443
Shuffle  SHFL,"US$ 0,1832",US$ 776.068,US$ 51.013.954,US$ 174.224.791
Siacoin  SC,"US$ 0,00364",US$ 14.447.558,US$ 203.919.881,US$ 219.085.375
SideShift  XAI,"US$ 0,1348","US$ 17.817,76",US$ 19.759.061,US$ 28.299.418
Sidus  SIDUS,"US$ 0,001074",US$ 649.590,US$ 11.914.414,US$ 20.355.516
Sigma  SIGMA,"US$ 0,02643",US$ 1.650.184,US$ 23.785.678,US$ 23.785.678
Silo Finance  SILO,"US$ 0,03731","US$ 34.824,77",US$ 37.309.600,US$ 37.309.600
Simon's Cat  CAT,"US$ 0,057523",US$ 10.358.136,US$ 50.781.336,US$ 60.937.872
SingularityNET  AGIX,"US$ 0,3375","US$ 96.662,19",US$ 104.590.779,US$ 156.604.015
Singularry  SINGULARRY,"US$ 0,01366","US$ 55.126,14",US$ 13.692.059,US$ 13.692.059
Siren  SIREN,"US$ 0,06972",US$ 7.168.737,US$ 51.047.836,US$ 51.047.836
SKALE  SKL,"US$ 0,02525",US$ 19.655.052,US$ 145.841.144,US$ 153.419.909
Skey Network  SKEY,"US$ 0,0129",US$ 193.960,US$ 9.282.520,US$ 12.885.562
Ski Mask Dog  SKI,"US$ 0,06441",US$ 938.267,US$ 64.434.190,US$ 64.434.190
SkyAI  SKYAI,"US$ 0,04382",US$ 17.317.969,US$ 43.817.851,US$ 43.817.851
Slash Vision Labs  SVL,"US$ 0,004468",US$ 908.140,US$ 22.091.413,US$ 44.722.717
Sleepless AI  AI,"US$ 0,1822",US$ 18.365.131,US$ 23.678.315,US$ 182.140.885
Slerf  SLERF,"US$ 0,07478",US$ 8.649.095,US$ 37.388.113,US$ 37.388.113
Slothana  SLOTH,"US$ 0,00418",US$ 570.646,US$ 7.740.243,US$ 7.740.243
SLOVE  SLOVE,"US$ 0,08319",US$ 139.406,US$ 7.486.904,US$ 8.318.782
SMARDEX  SDEX,"US$ 0,004572",US$ 194.926,US$ 41.699.973,US$ 45.626.457
Smoking Chicken Fish  SCF,"US$ 0,008668",US$ 1.429.588,US$ 8.667.314,US$ 8.667.314
Smooth Love Potion  SLP,"US$ 0,001775",US$ 8.112.219,US$ 72.990.507,US$ 72.990.507
Snek  SNEK,"US$ 0,003571",US$ 2.245.207,US$ 265.928.925,US$ 269.150.054
Snowbank  SB,"US$ 235,76","US$ 187,11",US$ 37.636.186,US$ 37.636.186
Soil  SOIL,"US$ 0,2826","US$ 49.603,33",US$ 9.870.220,US$ 28.251.444
Solana  SOL,"US$ 149,03",US$ 2.414.133.063,US$ 77.130.954.182,US$ 89.338.580.038
Solana Name Service  FIDA,"US$ 0,08767",US$ 23.515.699,US$ 86.862.360,US$ 87.659.036
Solana Social Explorer  SSE,"US$ 0,008274",US$ 4.271.738,US$ 8.261.340,US$ 8.261.340
SolanaHub staked SOL  HUBSOL,"US$ 163,82","US$ 78.108,03",US$ 8.626.648,US$ 8.626.648
Solar  SXP,"US$ 0,214",US$ 7.425.625,US$ 136.834.831,US$ 137.209.542
Solayer  LAYER,"US$ 2,57",US$ 563.053.648,US$ 537.872.187,US$ 2.561.296.126
Solayer Staked SOL  SSOL,"US$ 160,18",US$ 275.490,US$ 95.466.767,US$ 95.466.767
Solayer USD  SUSD,"US$ 1,10","US$ 33.615,40",US$ 10.896.875,US$ 10.896.875
Solcasino Token  SCS,"US$ 0,002008","US$ 23.738,92",US$ 12.363.124,US$ 12.363.124
Solend  SLND,"US$ 0,3793","US$ 24.202,20",US$ 69.360.419,US$ 137.087.973
SolForge Fusion  SFG,"US$ 1,15","US$ 8.259,89",US$ 6.846.618,US$ 97.092.396
Solidus Ai Tech  AITECH,"US$ 0,0328",US$ 11.218.748,US$ 50.663.712,US$ 65.334.255
Sologenic  SOLO,"US$ 0,226",US$ 2.383.008,US$ 90.222.267,US$ 90.222.267
Solv Protocol  SOLV,"US$ 0,03235",US$ 24.497.704,US$ 47.960.965,US$ 271.733.510
Solv Protocol SolvBTC  SOLVBTC,"US$ 94.592,68",US$ 1.039.781,US$ 1.363.371.399,US$ 1.449.811.613
Solv Protocol SolvBTC Jupiter  SOLVBTC.JUP,"US$ 94.505,32","US$ 3.756,60",US$ 80.666.733,US$ 80.666.733
Solv Protocol SolvBTC.CORE  SOLVBTC.CORE,"US$ 93.987,79","US$ 17.392,96",US$ 65.791.175,US$ 65.791.175
Solv Protocol xSolvBTC  XSOLVBTC,"US$ 93.195,75","US$ 46.028,81",US$ 800.302.139,US$ 800.302.139
Soneium Bridged USDC (Soneium)  USDC.E,"US$ 1,00",US$ 3.294.827,US$ 19.900.973,US$ 19.901.881
Songbird  SGB,"US$ 0,004757",US$ 318.304,US$ 74.465.852,US$ 88.453.874
Sonic (prev. FTM)  S,"US$ 0,5401",US$ 141.130.518,US$ 1.714.861.865,US$ 1.714.861.865
Sonic Bridged USDC.e (Sonic)  USDC.E,"US$ 0,9999",US$ 47.512.341,US$ 485.946.460,US$ 484.817.347
Sonic SVM  SONIC,"US$ 0,2583",US$ 42.604.137,US$ 92.822.048,US$ 618.813.655
SoSoValue  SOSO,"US$ 0,5389",US$ 6.702.771,US$ 37.994.237,US$ 538.925.351
Soul Graph  GRPH,"US$ 0,006727",US$ 529.416,US$ 6.697.945,US$ 6.697.945
Sovrun  SOVRN,"US$ 0,01285",US$ 918.399,US$ 10.681.166,US$ 11.505.785
Sovryn  SOV,"US$ 0,1834","US$ 25.009,97",US$ 10.998.174,US$ 18.357.632
SPACE ID  ID,"US$ 0,2062",US$ 15.916.495,US$ 88.776.557,US$ 411.731.194
Space Nation Oikos  OIK,"US$ 0,01692",US$ 14.632.592,US$ 8.976.721,US$ 16.937.209
SpaceChain (ERC-20)  SPC,"US$ 0,03504","US$ 7.506,70",US$ 14.237.064,US$ 21.150.107
SpaceN  SN,"US$ 1,14","US$ 25.905,59",US$ 45.434.455,US$ 1.135.577.470
SPARTA  SPARTA,"US$ 0,09993",US$ 119.534,US$ 18.670.959,US$ 18.670.959
Spectra  SPECTRA,"US$ 0,02949","US$ 15.886,41",US$ 9.895.151,US$ 16.648.595
Spectral  SPEC,"US$ 2,19",US$ 13.991.520,US$ 30.744.795,US$ 217.975.580
Spectre AI  SPECTRE,"US$ 2,87",US$ 358.137,US$ 28.696.662,US$ 28.696.662
Spell  SPELL,"US$ 0,0006288",US$ 16.679.250,US$ 100.603.613,US$ 123.182.341
Sperax  SPA,"US$ 0,02027",US$ 2.482.946,US$ 41.103.510,US$ 93.369.679
Spiko EU T-Bills Money Market Fund  EUTBL,"US$ 1,18","$0,00",US$ 181.805.912,US$ 181.805.912
Spiko US T-Bills Money Market Fund  USTBL,"US$ 1,04","$0,00",US$ 82.726.415,US$ 82.726.415
Spinning Cat  OIIAOIIA,"US$ 0,006929",US$ 216.630,US$ 6.932.739,US$ 6.932.739
Spring Staked SUI  SSUI,"US$ 3,58","US$ 48.003,99",US$ 29.625.478,US$ 29.625.478
SPX6900  SPX,"US$ 0,6121",US$ 29.632.220,US$ 569.997.203,US$ 569.997.203
SQD  SQD,"US$ 0,2024",US$ 2.447.163,US$ 131.995.336,US$ 270.564.617
SquidGrow  SQGROW,"US$ 0,01124","US$ 75.825,38",US$ 11.271.997,US$ 11.271.997
SSV Network  SSV,"US$ 6,59",US$ 17.387.068,US$ 46.708.917,US$ 82.863.229
Stables Labs USDX  USDX,"US$ 0,9991","US$ 90.460,84",US$ 625.944.231,US$ 625.944.231
StablR Euro  EURR,"US$ 1,13",US$ 499.287,US$ 10.150.732,US$ 10.150.732
Stacks  STX,"US$ 0,8467",US$ 58.507.065,US$ 1.289.685.646,US$ 1.289.694.948
Stader  SD,"US$ 0,5353",US$ 3.707.751,US$ 30.236.292,US$ 64.253.478
Stader BNBx  BNBX,"US$ 669,33","US$ 591,62",US$ 10.981.895,-
Stader ETHx  ETHX,"US$ 1.919,93","US$ 6.992,21",US$ 267.597.139,US$ 267.597.257
Stader MaticX  MATICX,"US$ 0,2824","US$ 62.728,60",US$ 34.252.492,US$ 34.252.494
Stafi  FIS,"US$ 0,2016",US$ 17.031.979,US$ 30.791.866,US$ 30.791.866
Stake DAO  SDT,"US$ 0,2851","US$ 12.041,03",US$ 17.917.173,US$ 19.021.237
stake.link  SDL,"US$ 0,4459","US$ 2.334,04",US$ 25.898.725,US$ 44.586.888
Staked FRAX  SFRAX,"US$ 1,08","US$ 79,06",US$ 63.592.323,US$ 63.592.323
Staked Frax Ether  SFRXETH,"US$ 2.033,73",US$ 233.013,US$ 161.492.472,US$ 161.492.472
Staked Frax USD  SFRXUSD,"US$ 1,13",US$ 631.552,US$ 26.463.990,US$ 26.463.990
Staked HYPE  STHYPE,"US$ 17,96",US$ 2.221.175,US$ 126.443.114,US$ 126.443.114
Staked Level USD  SLVLUSD,"US$ 1,06","US$ 63.181,30",US$ 51.734.114,US$ 51.734.191
StakeStone  STO,"US$ 0,1369",US$ 25.241.179,US$ 30.863.673,US$ 136.968.963
StakeStone Berachain Vault Token  BERASTONE,"US$ 1.799,74",US$ 616.325,US$ 290.086.526,US$ 290.086.526
StakeWise  SWISE,"US$ 0,013","US$ 2.504,10",US$ 7.264.040,US$ 13.004.187
StakeWise Staked ETH  OSETH,"US$ 1.901,10",US$ 350.440,US$ 468.980.151,US$ 468.980.214
Standard Bridged USDC.e (Optimism)  USDC.E,"US$ 1,00",US$ 1.740.269,US$ 56.020.638,US$ 56.020.638
Star Atlas  ATLAS,"US$ 0,001407",US$ 1.633.757,US$ 26.781.420,US$ 50.549.320
Star Atlas DAO  POLIS,"US$ 0,07285",US$ 268.747,US$ 20.939.646,US$ 26.223.339
Stargate Bridged USDC (Berachain)  USDC.E,"US$ 0,9994",US$ 5.043.574,US$ 239.601.094,US$ 239.645.893
Stargate Bridged USDC (Story)  USDC.E,"US$ 0,9996",US$ 340.441,US$ 15.748.572,US$ 15.748.572
Stargate Finance  STG,"US$ 0,2109",US$ 6.188.001,US$ 204.738.150,US$ 210.752.016
Starknet  STRK,"US$ 0,1589",US$ 24.998.646,US$ 461.535.471,US$ 1.588.610.447
STASIS EURO  EURS,"US$ 1,14","US$ 75.536,43",US$ 141.741.420,US$ 141.741.420
Status  SNT,"US$ 0,02385",US$ 8.288.525,US$ 94.673.649,US$ 162.667.472
Steakhouse USDC Morpho Vault  STEAKUSDC,"US$ 1,08","$0,00",US$ 120.063.383,US$ 120.063.383
Steem  STEEM,"US$ 0,1539",US$ 21.705.632,US$ 78.506.468,US$ 78.556.620
Steem Dollars  SBD,"US$ 0,8698",US$ 563.938,US$ 8.326.464,US$ 8.326.464
Stella  ALPHA,"US$ 0,03325",US$ 8.795.912,US$ 30.653.527,US$ 33.246.775
Stellar  XLM,"US$ 0,2907",US$ 190.205.351,US$ 8.968.632.026,US$ 14.531.232.490
Step Finance  STEP,"US$ 0,08398","US$ 34.002,59",US$ 26.709.499,US$ 29.393.649
STEPN Green Satoshi Token on Solana  GST-SOL,"US$ 0,0079",US$ 595.735,US$ 9.062.794,US$ 9.141.796
STON  STON,"US$ 1,84","US$ 80.757,40",US$ 8.438.067,US$ 184.417.904
Stonks  STNK,"US$ 16,89",US$ 107.778,US$ 9.841.715,US$ 9.841.715
STONKS  STONKS,"US$ 0,04667",US$ 6.305.770,US$ 46.403.091,US$ 46.403.091
Storj  STORJ,"US$ 0,3357",US$ 34.101.032,US$ 48.278.462,US$ 142.699.156
StormX  STMX,"US$ 0,003788",US$ 2.754.950,US$ 41.603.060,US$ 47.276.204
StorX  SRX,"US$ 0,06217",US$ 2.486.260,US$ 31.277.532,US$ 37.426.149
Story  IP,"US$ 4,03",US$ 30.218.518,US$ 1.084.736.479,US$ 4.042.879.770
STP  STPT,"US$ 0,05598",US$ 54.240.851,US$ 108.501.426,US$ 108.501.426
StraitsX XUSD  XUSD,"US$ 1,00",US$ 3.699.637,US$ 25.754.076,US$ 25.754.076
Stratis  STRAX,"US$ 0,05975",US$ 38.984.360,US$ 117.143.604,US$ 124.594.165
Stratos  STOS,"US$ 0,1565",US$ 279.666,US$ 10.501.062,US$ 15.658.438
Strawberry AI  BERRY,"US$ 0,09216",US$ 187.253,US$ 9.215.702,US$ 9.215.702
Streamr  DATA,"US$ 0,019",US$ 2.609.480,US$ 14.555.412,US$ 18.984.332
Streamr XDATA  XDATA,"US$ 0,01896","US$ 95.671,13",US$ 13.217.503,US$ 18.715.723
Stride  STRD,"US$ 0,2054",US$ 555.088,US$ 18.968.944,US$ 18.968.992
Stride Staked Atom  STATOM,"US$ 7,18",US$ 687.730,US$ 18.196.127,US$ 18.196.528
Strike  STRIKE,"US$ 7,77",US$ 2.630.350,US$ 43.017.767,US$ 50.789.674
STRIKE  STRIKE,"US$ 0,004799","US$ 5.942,12",US$ 18.808.001,US$ 48.030.190
StrikeX  STRX,"US$ 0,02162","US$ 6.907,15",US$ 18.274.168,US$ 19.173.374
Stronghold  SHX,"US$ 0,008881",US$ 397.841,US$ 47.733.766,-
Stronghold Staked SOL  STRONGSOL,"US$ 163,68","US$ 4.919,91",US$ 7.280.865,US$ 7.280.865
STUFF.io  STUFF,"US$ 0,006468","US$ 27.430,45",US$ 14.313.210,US$ 64.684.957
Sturdy  STRDY,"US$ 0,7476",US$ 6.821.495,US$ 15.482.448,US$ 74.758.023
sudeng  HIPPO,"US$ 0,002616",US$ 28.875.985,US$ 26.366.107,US$ 26.366.107
Sui  SUI,"US$ 3,53",US$ 1.529.269.172,US$ 11.470.278.360,US$ 35.293.349.877
Sui Bridged Ether (Sui)  SBETH,"US$ 1.818,90",US$ 1.107.047,US$ 24.591.371,US$ 24.591.371
Suilend  SEND,"US$ 0,8136",US$ 3.232.389,US$ 39.600.119,US$ 81.263.117
SuiNS Token  NS,"US$ 0,2202",US$ 6.993.131,US$ 34.204.661,US$ 110.122.994
SUKU  SUKU,"US$ 0,03509",US$ 245.847,US$ 15.094.471,US$ 52.626.073
Sun Token  SUN,"US$ 0,01784",US$ 52.385.010,US$ 343.221.679,US$ 355.020.506
Sundog  SUNDOG,"US$ 0,05742",US$ 21.267.776,US$ 57.415.234,US$ 57.415.234
Super OETH  SUPEROETHB,"US$ 1.818,31","US$ 64.642,59",US$ 392.906.624,US$ 392.906.624
SuperRare  RARE,"US$ 0,06385",US$ 23.968.905,US$ 52.961.418,US$ 63.826.318
SuperVerse  SUPER,"US$ 0,7092",US$ 16.924.011,US$ 320.361.547,US$ 709.241.948
SuperWalk GRND  GRND,"US$ 0,05613",US$ 948.116,US$ 35.097.454,US$ 55.373.257
Supra  SUPRA,"US$ 0,006086",US$ 11.737.613,US$ 72.560.054,US$ 494.291.275
sUSD  SUSD,"US$ 0,8891",US$ 114.153,US$ 31.621.664,US$ 31.621.664
sUSD (Optimism)  SUSD,"US$ 0,8792",US$ 159.546,US$ 18.223.676,US$ 18.223.684
sUSDa  SUSDA,"US$ 1,05","US$ 0,00",US$ 69.747.326,US$ 69.747.326
sUSDS  SUSDS,"US$ 1,05",US$ 2.430.598,US$ 2.657.219.472,US$ 2.657.239.472
Sushi  SUSHI,"US$ 0,6999",US$ 34.998.689,US$ 134.937.863,US$ 197.683.062
Swarm  BZZ,"US$ 0,3879",US$ 3.180.758,US$ 24.388.637,US$ 24.388.637
Swarm Markets  SMT,"US$ 0,07555","US$ 62.306,38",US$ 6.236.584,US$ 11.940.445
SwarmNode.ai  SNAI,"US$ 0,01953",US$ 2.507.683,US$ 17.623.916,US$ 19.528.196
Swarms  SWARMS,"US$ 0,03137",US$ 16.877.431,US$ 31.409.584,US$ 31.409.584
Sweat Economy  SWEAT,"US$ 0,004745",US$ 4.255.515,US$ 36.204.833,US$ 100.442.856
Swell  SWELL,"US$ 0,01156",US$ 31.704.829,US$ 25.177.468,US$ 115.612.218
Swell Ethereum  SWETH,"US$ 1.970,99","US$ 35.900,74",US$ 239.146.483,US$ 239.153.151
Swell Restaked BTC  SWBTC,"US$ 87.602,36","US$ 333,75",US$ 11.880.858,US$ 11.880.858
SWFTCOIN  SWFTC,"US$ 0,01411",US$ 2.569.286,US$ 141.011.661,US$ 141.011.661
SwissBorg  BORG,"US$ 0,214",US$ 619.771,US$ 210.438.926,US$ 210.438.926
SwissCheese  SWCH,"US$ 0,5537",US$ 2.248.677,US$ 23.669.330,US$ 66.440.225
Switch Token  SWITCH,"US$ 0,0003729","US$ 13.038,18",US$ 16.493.972,US$ 18.644.593
SX Network  SX,"US$ 0,04661","US$ 1.294,84",US$ 25.994.701,US$ 46.576.599
Sygnum FIUSD Liquidity Fund  FIUSD,"US$ 11.391,10","$0,00",US$ 47.797.056,US$ 47.797.056
SYMMIO  SYMM,"US$ 0,03672","US$ 40.258,53",US$ 9.431.148,US$ 15.036.939
Synapse  SYN,"US$ 0,3487",US$ 52.738.045,US$ 76.312.323,US$ 87.088.068
SynFutures  F,"US$ 0,01199",US$ 4.821.120,US$ 19.422.434,US$ 119.797.166
Synternet  SYNT,"US$ 0,01692",US$ 1.043.811,US$ 15.000.754,US$ 19.319.386
Synthetix Network  SNX,"US$ 0,773",US$ 22.309.466,US$ 262.291.549,US$ 262.618.873
SyrupUSDC  SYRUPUSDC,"US$ 1,10",US$ 171.639,US$ 241.677.233,US$ 241.677.233
Syscoin  SYS,"US$ 0,04706",US$ 3.946.457,US$ 36.086.758,US$ 483.224.675
T-mac DAO  TMG,"US$ 12,38","US$ 12.069,26",US$ 21.661.300,US$ 12.377.885.831
Taiko  TAIKO,"US$ 0,7003",US$ 13.182.540,US$ 72.225.483,US$ 700.472.561
Tajir Tech Hub  TJRM,"US$ 0,01872",US$ 447.470,US$ 14.037.064,US$ 14.037.064
tao.bot  TAOBOT,"US$ 0,3135","US$ 79.751,14",US$ 24.202.086,US$ 31.349.175
Taraxa  TARA,"US$ 0,004674",US$ 1.055.575,US$ 25.708.437,US$ 50.312.531
Tarot  TAROT,"US$ 0,1098","US$ 72.107,26",US$ 7.373.075,US$ 10.983.430
TARS AI  TAI,"US$ 0,126",US$ 66.850.311,US$ 73.937.639,US$ 112.793.601
tBTC  TBTC,"US$ 94.662,18",US$ 16.201.890,US$ 426.606.187,US$ 426.606.187
Tectonic  TONIC,"US$ 0,073192","US$ 14.352,59",US$ 8.330.476,US$ 15.942.519
Tectum  TET,"US$ 1,16",US$ 232.218,US$ 8.690.141,US$ 11.650.893
Teddy Bear  TEDDY,"US$ 0,006679",US$ 285.693,US$ 6.678.606,US$ 6.678.606
Telcoin  TEL,"US$ 0,005852",US$ 2.104.672,US$ 536.693.971,US$ 583.999.910
Tellor Tributes  TRB,"US$ 32,07",US$ 31.463.226,US$ 85.312.816,US$ 87.906.773
Telos  TLOS,"US$ 0,09161",US$ 2.809.930,US$ 38.489.738,US$ 38.489.742
Tema  TEMA,"US$ 0,006596",US$ 422.276,US$ 6.611.765,US$ 6.611.765
TempleDAO  TEMPLE,"US$ 3,58","US$ 1.768,50",US$ 85.013.847,US$ 85.183.291
Tenset  10SET,"US$ 0,05825",US$ 193.218,US$ 9.725.370,US$ 9.725.370
Tensor  TNSR,"US$ 0,1606",US$ 8.330.806,US$ 53.709.868,US$ 160.516.155
Tensorplex Staked TAO  STTAO,"US$ 415,93","US$ 32.592,17",US$ 11.831.317,US$ 11.831.317
TERA  TERA,"US$ 0,01992","US$ 0,00",US$ 15.027.565,US$ 19.917.316
Terra  LUNA,"US$ 0,1955",US$ 23.908.466,US$ 134.521.921,US$ 210.982.646
Terra  LUNC,"US$ 0,00006542",US$ 13.181.970,US$ 355.472.958,US$ 425.058.969
TerraClassicUSD  USTC,"US$ 0,01339",US$ 8.762.987,US$ 74.739.605,US$ 81.428.211
Test  TST,"US$ 0,07524",US$ 30.296.407,US$ 71.256.100,US$ 71.256.100
Tether  USDT,"US$ 1,00",US$ 25.845.712.926,US$ 147.179.348.703,US$ 147.179.348.703
Tether Gold  XAUT,"US$ 3.316,37",US$ 20.976.816,US$ 817.547.954,US$ 817.547.954
Tezos  XTZ,"US$ 0,5717",US$ 24.514.283,US$ 594.909.937,US$ 606.450.907
tGOLD  TXAU,"US$ 105,03","US$ 1.373,27",US$ 9.809.585,US$ 9.809.585
Thala  THL,"US$ 0,1358","US$ 72.197,68",US$ 7.160.765,US$ 13.579.100
Thala APT  THAPT,"US$ 5,59","US$ 52.710,25",US$ 39.544.313,US$ 39.544.313
The Arena  ARENA,"US$ 0,007353","US$ 74.989,10",US$ 15.381.303,US$ 73.708.841
The Graph  GRT,"US$ 0,1033",US$ 48.006.921,US$ 986.577.063,US$ 1.114.642.351
The Grays Currency  PTGC,"US$ 0,0002925","US$ 84.714,88",US$ 85.580.513,US$ 85.580.513
The Root Network  ROOT,"US$ 0,00583",US$ 1.189.750,US$ 38.501.806,US$ 70.003.283
The Sandbox  SAND,"US$ 0,3112",US$ 65.493.337,US$ 760.970.786,US$ 933.379.278
Thena  THE,"US$ 0,2979",US$ 12.686.144,US$ 16.419.204,US$ 75.154.437
Theta Fuel  TFUEL,"US$ 0,03879",US$ 10.208.955,US$ 267.972.982,US$ 268.021.467
Theta Network  THETA,"US$ 0,7471",US$ 29.607.869,US$ 747.199.353,US$ 747.199.353
ThetaDrop  TDROP,"US$ 0,00164",US$ 2.355.243,US$ 18.127.881,US$ 18.127.881
THORChain  RUNE,"US$ 1,39",US$ 91.810.457,US$ 487.093.006,US$ 589.773.063
THORSwap  THOR,"US$ 0,06862","US$ 17.995,34",US$ 13.360.722,US$ 19.294.928
THORWallet DEX  TGT,"US$ 0,01768","US$ 58.822,24",US$ 10.390.578,US$ 15.982.189
Threshold Network  T,"US$ 0,01893",US$ 22.285.647,US$ 191.767.217,US$ 211.226.932
ThunderCore  TT,"US$ 0,003259",US$ 4.747.080,US$ 39.238.286,US$ 39.238.286
titcoin  TITCOIN,"US$ 0,01906",US$ 5.286.409,US$ 18.378.957,US$ 19.045.895
TNQ  TNQ,"US$ 1,00","US$ 246,63",US$ 49.377.929,US$ 1.000.295.619
Toby ToadGod  TOBY,"US$ 0,071711","US$ 11.579,80",US$ 6.472.313,US$ 7.191.486
Tokamak Network  TON,"US$ 1,23",US$ 2.130.603,US$ 63.251.169,US$ 113.935.184
Tokemak  TOKE,"US$ 0,23","US$ 90.588,43",US$ 18.622.691,US$ 23.002.545
tokenbot  CLANKER,"US$ 44,03",US$ 12.200.247,US$ 43.927.367,US$ 43.927.367
TokenFi  TOKEN,"US$ 0,0163",US$ 7.617.728,US$ 38.889.888,US$ 162.616.247
Tokenize Xchange  TKX,"US$ 32,08",US$ 19.387.355,US$ 2.568.352.011,US$ 3.210.600.581
Tokenlon  LON,"US$ 0,6683","US$ 47.964,91",US$ 77.678.833,US$ 93.857.916
TokenPocket Token  TPT,"US$ 0,006832",US$ 150.566,US$ 23.677.417,US$ 23.677.417
Tokocrypto  TKO,"US$ 0,1808",US$ 1.610.479,US$ 13.557.180,US$ 90.381.197
TOKPIE  TKP,"US$ 0,3961","US$ 16.756,12",US$ 31.404.350,US$ 39.605.027
Toncoin  TON,"US$ 3,34",US$ 150.898.382,US$ 8.401.354.719,US$ 17.145.801.597
TOPIA  TOPIA,"US$ 0,009597","US$ 44.627,87",US$ 13.778.014,US$ 47.985.105
Tornado Cash  TORN,"US$ 7,46",US$ 909.966,US$ 28.445.634,US$ 74.649.644
Torus  TORUS,"US$ 0,193","US$ 41.769,69",US$ 12.896.499,US$ 27.801.942
Toshi  TOSHI,"US$ 0,000417",US$ 24.837.138,US$ 175.395.379,US$ 175.395.379
TRAC (Ordinals)  TRAC,"US$ 0,3636",US$ 617.854,US$ 7.634.974,US$ 7.634.974
Tranchess  CHESS,"US$ 0,07218",US$ 5.478.341,US$ 14.623.416,US$ 21.654.518
Treasure  MAGIC,"US$ 0,2112",US$ 63.403.195,US$ 65.929.515,US$ 73.372.466
Tree  TREE,"US$ 0,3227","US$ 90.030,90",US$ 32.706.984,US$ 38.857.205
Treehouse ETH  TETH,"US$ 2.173,43",US$ 3.576.113,US$ 166.776.445,US$ 166.776.445
TriasLab  TRIAS,"US$ 1,64",US$ 708.368,US$ 16.395.526,US$ 16.395.526
Tribe  TRIBE,"US$ 0,3177","US$ 71.018,55",US$ 144.556.785,US$ 317.696.377
Trip  TRIP,"US$ 6,80","US$ 16.611,78",US$ 200.488.394,US$ 666.029.242
TROLL  TROLL,"US$ 0,01585",US$ 22.827.247,US$ 15.686.747,US$ 15.686.747
TRON  TRX,"US$ 0,2519",US$ 783.488.316,US$ 23.912.171.442,US$ 23.912.239.344
TrueFi  TRU,"US$ 0,04183",US$ 7.953.662,US$ 53.764.215,US$ 54.385.314
TrueUSD  TUSD,"US$ 0,9991",US$ 28.428.278,US$ 494.958.892,US$ 494.958.892
TRUF.Network  TRUF,"US$ 0,03552",US$ 264.816,US$ 10.883.429,US$ 35.572.706
TruFin Staked APT  TRUAPT,"US$ 5,68","US$ 0,05624",US$ 56.252.515,US$ 56.252.515
TruFin Staked MATIC  TRUMATIC,"US$ 0,265","US$ 175,97",US$ 35.597.189,US$ 35.597.253
TruFin Staked NEAR  TRUNEAR,"US$ 2,76","US$ 1.388,14",US$ 20.857.192,US$ 20.857.192
